1H,1H,1H,13C,13C
0.0,0.0,0.0,-6.7335,129.5041
0.0,0.0,0.0,-6.7335,129.5041
0.0,0.0,0.0,-6.7335,129.5041
-6.7335,-6.7335,-6.7335,0.0,56.7928
129.5041,129.5041,129.5041,56.7928,0.0
