13C,1H,1H,1H,1H,1H,1H,1H,1H
0.0,128.497,128.497,128.497,-0.331,-0.331,0.0,0.0,0.0
128.497,0.0,-16.788,-16.788,0.006,0.006,0.023,0.023,0.023
128.497,-16.788,0.0,-16.788,0.006,0.006,0.023,0.023,0.023
128.497,-16.788,-16.788,0.0,0.006,0.006,0.023,0.023,0.023
-0.331,0.006,0.006,0.006,0.0,-23.259,8.266,8.266,8.266
-0.331,0.006,0.006,0.006,-23.259,0.0,8.266,8.266,8.266
0.0,0.023,0.023,0.023,8.266,8.266,0.0,-15.412,-15.412
0.0,0.023,0.023,0.023,8.266,8.266,-15.412,0.0,-15.412
0.0,0.023,0.023,0.023,8.266,8.266,-15.412,-15.412,0.0
