13C,1H,1H,1H,1H,1H,1H,1H,1H
0.0,2.057,2.057,2.057,123.636,123.636,-5.032,-5.032,-5.032
2.057,0.0,-16.788,-16.788,0.006,0.006,0.023,0.023,0.023
2.057,-16.788,0.0,-16.788,0.006,0.006,0.023,0.023,0.023
2.057,-16.788,-16.788,0.0,0.006,0.006,0.023,0.023,0.023
123.636,0.006,0.006,0.006,0.0,-23.259,8.266,8.266,8.266
123.636,0.006,0.006,0.006,-23.259,0.0,8.266,8.266,8.266
-5.032,0.023,0.023,0.023,8.266,8.266,0.0,-15.412,-15.412
-5.032,0.023,0.023,0.023,8.266,8.266,-15.412,0.0,-15.412
-5.032,0.023,0.023,0.023,8.266,8.266,-15.412,-15.412,0.0
