1H,1H,1H,1H,1H,13C
0.0,0.0,7.032,7.032,7.032,-2.317
0.0,0.0,7.032,7.032,7.032,-2.317
7.032,7.032,0.0,0.0,0.0,125.2572
7.032,7.032,0.0,0.0,0.0,125.2572
7.032,7.032,0.0,0.0,0.0,125.2572
-2.317,-2.317,125.2572,125.2572,125.2572,0.0
