13C,1H,1H,1H,1H,1H,1H,1H,1H
0.0,-6.862,-6.862,-6.862,-6.341,-6.341,5.207,5.207,5.207
-6.862,0.0,-16.788,-16.788,0.006,0.006,0.023,0.023,0.023
-6.862,-16.788,0.0,-16.788,0.006,0.006,0.023,0.023,0.023
-6.862,-16.788,-16.788,0.0,0.006,0.006,0.023,0.023,0.023
-6.341,0.006,0.006,0.006,0.0,-23.259,8.266,8.266,8.266
-6.341,0.006,0.006,0.006,-23.259,0.0,8.266,8.266,8.266
5.207,0.023,0.023,0.023,8.266,8.266,0.0,-15.412,-15.412
5.207,0.023,0.023,0.023,8.266,8.266,-15.412,0.0,-15.412
5.207,0.023,0.023,0.023,8.266,8.266,-15.412,-15.412,0.0
